driverId,races,podiums,podium_rate
albon,25,0,0.0
barrichello,26,3,0.11538461538461539
bottas,52,18,0.34615384615384615
gasly,29,0,0.0
grosjean,29,2,0.06896551724137931
heidfeld,26,5,0.19230769230769232
hulkenberg,49,0,0.0
kevin_magnussen,35,1,0.02857142857142857
kubica,20,3,0.15
kvyat,21,1,0.047619047619047616
leclerc,35,11,0.3142857142857143
massa,53,10,0.18867924528301888
ocon,35,0,0.0
perez,62,13,0.20967741935483872
ricciardo,44,3,0.06818181818181818
russell,31,4,0.12903225806451613
sainz,45,7,0.15555555555555556
stroll,38,0,0.0
trulli,22,5,0.22727272727272727
tsunoda,21,0,0.0
webber,35,7,0.2
