driverId,qual_delta_avg,comparisons
albon,2.347826086956522,23
bottas,2.090909090909091,33
ericsson,-0.8695652173913043,23
gasly,2.914285714285714,35
glock,-0.6666666666666666,21
grosjean,0.6666666666666666,33
heidfeld,-2.5,28
hulkenberg,1.180327868852459,61
kevin_magnussen,0.358974358974359,39
kubica,1.8333333333333333,24
kvyat,-2.925925925925926,27
leclerc,1.76,25
maldonado,-1.3333333333333333,21
massa,0.0,29
ocon,0.03333333333333333,30
perez,0.25,40
ricciardo,2.878787878787879,33
russell,3.3,20
sainz,-0.7352941176470589,34
stroll,-2.3636363636363638,22
sutil,0.2413793103448276,29
trulli,2.0,31
tsunoda,-1.1818181818181819,22
